IRI,Speed,Vert_Displacement,Travel_Distance,latitude,longitude,time,Road Condition
4.413313044552455,37.02597272727272,0.4633019994735137,104.978277044133,5.206569,-1.059686,10.009,Good
7.989966618561223,44.0946875,0.8091522084156179,101.2710374203446,5.207345,-1.059208,18.009,Very Poor
5.038755055617937,44.458844444444445,0.5547909408130425,110.10476490506932,5.207943,-1.058416,27.009,Poor
2.790796991802089,53.00265714285715,0.2846024409522631,101.9789120413549,5.208552,-1.057729,34.009,Good
5.162061114863111,55.35624285714285,0.5962019882146532,115.4968867954721,5.209483,-1.057309,41.009,Poor
6.490830754279719,55.04521999999999,0.6985680367450765,107.623825545671,5.210401,-1.057002,48.009,Very Poor
3.4021076072001324,52.996433333333336,0.3615987748007935,106.2866953518799,5.211237,-1.056613,55.009,Fair
4.826764033147556,53.352516666666666,0.4929359349893219,102.1255507010721,5.212025,-1.056148,62.009,Poor
5.0593921460820495,51.4823625,0.5815894164870423,114.9524290062039,5.212577,-1.055303,70.009,Poor
5.222300586848196,55.30781428571429,0.5648533379807157,108.1617820703845,5.213109,-1.054493,77.009,Poor
2.59980406449014,55.61354285714286,0.2909530072726718,111.9134365726642,5.21376,-1.053728,84.009,Good
7.993308413761778,54.3972,0.8497358488610252,106.3059004952276,5.214394,-1.053023,91.009,Very Poor
5.352742026350555,53.79495714285714,0.5640078745270826,105.3680285264219,5.215127,-1.05242,98.009,Poor
5.709687758840546,53.57525714285715,0.5994968774707466,104.9964381226488,5.215876,-1.051843,105.009,Very Poor
6.261010093762977,52.5045,0.6374668406982972,101.8153350899916,5.216546,-1.051235,112.009,Very Poor
5.357494585349895,53.74414285714287,0.5543824164528364,103.4779237983364,5.216868,-1.050364,119.009,Poor
5.363211002238684,52.45128571428571,0.5440265057113901,101.4367149612994,5.217103,-1.049479,126.009,Poor
4.9959809721758175,55.095866666666666,0.5383066888567744,107.7479461700861,5.217509,-1.048602,133.009,Poor
5.286803516604601,54.12744285714285,0.5490679221584492,103.85631325884472,5.218058,-1.047852,140.009,Poor
5.115232350273462,53.5231,0.5359887374396105,104.782872162387,5.21875,-1.047211,147.009,Poor
4.283899100872193,53.7534,0.4532731785633584,105.8085561518181,5.219434,-1.046552,154.009,Poor
5.265833644734558,52.99660000000001,0.5439594954281398,103.2997872942794,5.220127,-1.045931,161.009,Poor
3.806936962350362,35.34597,0.3887454369729289,102.1150181412307,5.220956,-1.045781,171.009,Good
